 lat lon alt B
199 -60.0 0.0 200.0 -59.541
200 -60.0 10.0 200.0 -59.6262
201 -60.0 20.0 200.0 -59.9844
202 -60.0 30.0 200.0 -60.8816
203 -60.0 40.0 200.0 -62.4436
204 -60.0 50.0 200.0 -64.6366
205 -60.0 60.0 200.0 -67.3204
206 -60.0 70.0 200.0 -70.3264
207 -60.0 80.0 200.0 -73.5092
208 -60.0 90.0 200.0 -76.7558
209 -60.0 100.0 200.0 -79.9665
210 -60.0 110.0 200.0 -83.0236
211 -60.0 120.0 200.0 -85.7004
212 -60.0 130.0 200.0 -87.1932
213 -60.0 140.0 200.0 -86.2596
214 -60.0 150.0 200.0 -84.1715
215 -60.0 160.0 200.0 -81.9202
216 -60.0 170.0 200.0 -79.7177
217 -60.0 180.0 200.0 -77.6128
218 -55.0 -180.0 200.0 -74.8261
219 -55.0 -170.0 200.0 -72.8558
220 -55.0 -160.0 200.0 -70.9513
221 -55.0 -150.0 200.0 -69.0758
222 -55.0 -140.0 200.0 -67.1605
223 -55.0 -130.0 200.0 -65.1043
224 -55.0 -120.0 200.0 -62.8035
225 -55.0 -110.0 200.0 -60.2276
226 -55.0 -100.0 200.0 -57.5041
227 -55.0 -90.0 200.0 -54.9547
228 -55.0 -80.0 200.0 -53.0417
229 -55.0 -70.0 200.0 -52.204
230 -55.0 -60.0 200.0 -52.6251
231 -55.0 -50.0 200.0 -54.0829
232 -55.0 -40.0 200.0 -56.0359
233 -55.0 -30.0 200.0 -57.8895
234 -55.0 -20.0 200.0 -59.2286
235 -55.0 -10.0 200.0 -59.8945
236 -55.0 0.0 200.0 -59.9721
237 -55.0 10.0 200.0 -59.7711
238 -55.0 20.0 200.0 -59.755
239 -55.0 30.0 200.0 -60.3626
240 -55.0 40.0 200.0 -61.8181
241 -55.0 50.0 200.0 -64.0773
242 -55.0 60.0 200.0 -66.9211
243 -55.0 70.0 200.0 -70.0912
244 -55.0 80.0 200.0 -73.3748
245 -55.0 90.0 200.0 -76.6043
246 -55.0 100.0 200.0 -79.5994
247 -55.0 110.0 200.0 -82.0913
248 -55.0 120.0 200.0 -83.6433
249 -55.0 130.0 200.0 -83.8007
250 -55.0 140.0 200.0 -82.7045
251 -55.0 150.0 200.0 -80.9475
252 -55.0 160.0 200.0 -78.9377
253 -55.0 170.0 200.0 -76.8663
254 -55.0 180.0 200.0 -74.8261
255 -50.0 -180.0 200.0 -71.6967
256 -50.0 -170.0 200.0 -69.7497
257 -50.0 -160.0 200.0 -67.854
258 -50.0 -150.0 200.0 -65.9922
259 -50.0 -140.0 200.0 -64.1161
260 -50.0 -130.0 200.0 -62.126
261 -50.0 -120.0 200.0 -59.8816
262 -50.0 -110.0 200.0 -57.2889
263 -50.0 -100.0 200.0 -54.433
264 -50.0 -90.0 200.0 -51.6764
265 -50.0 -80.0 200.0 -49.634
266 -50.0 -70.0 200.0 -48.9548
267 -50.0 -60.0 200.0 -49.9419
268 -50.0 -50.0 200.0 -52.2894
269 -50.0 -40.0 200.0 -55.233
270 -50.0 -30.0 200.0 -57.9836
271 -50.0 -20.0 200.0 -60.0223
272 -50.0 -10.0 200.0 -61.1151
273 -50.0 0.0 200.0 -61.267
274 -50.0 10.0 200.0 -60.7819
275 -50.0 20.0 200.0 -60.2691
276 -50.0 30.0 200.0 -60.402
277 -50.0 40.0 200.0 -61.5699
278 -50.0 50.0 200.0 -63.7431
279 -50.0 60.0 200.0 -66.6076
280 -50.0 70.0 200.0 -69.7835
281 -50.0 80.0 200.0 -72.9618
282 -50.0 90.0 200.0 -75.8968
283 -50.0 100.0 200.0 -78.3216
284 -50.0 110.0 200.0 -79.9349
285 -50.0 120.0 200.0 -80.5283
286 -50.0 130.0 200.0 -80.1431
287 -50.0 140.0 200.0 -79.0317
288 -50.0 150.0 200.0 -77.4662
289 -50.0 160.0 200.0 -75.6382
290 -50.0 170.0 200.0 -73.6805
291 -50.0 180.0 200.0 -71.6967
292 -45.0 -180.0 200.0 -68.252
293 -45.0 -170.0 200.0 -66.3046
294 -45.0 -160.0 200.0 -64.3838
295 -45.0 -150.0 200.0 -62.4861
296 -45.0 -140.0 200.0 -60.5955
297 -45.0 -130.0 200.0 -58.6415
298 -45.0 -120.0 200.0 -56.4745
299 -45.0 -110.0 200.0 -53.9372
300 -45.0 -100.0 200.0 -51.0365
301 -45.0 -90.0 200.0 -48.1339
302 -45.0 -80.0 200.0 -45.9942
303 -45.0 -70.0 200.0 -45.5123
304 -45.0 -60.0 200.0 -47.131
305 -45.0 -50.0 200.0 -50.4254
306 -45.0 -40.0 200.0 -54.3801
307 -45.0 -30.0 200.0 -58.0501
308 -45.0 -20.0 200.0 -60.8845
309 -45.0 -10.0 200.0 -62.597
310 -45.0 0.0 200.0 -63.0437
311 -45.0 10.0 200.0 -62.4087
312 -45.0 20.0 200.0 -61.3777
313 -45.0 30.0 200.0 -60.8852
314 -45.0 40.0 200.0 -61.5698
315 -45.0 50.0 200.0 -63.477
316 -45.0 60.0 200.0 -66.2027
317 -45.0 70.0 200.0 -69.2183
318 -45.0 80.0 200.0 -72.0965
319 -45.0 90.0 200.0 -74.5162
320 -45.0 100.0 200.0 -76.1897
321 -45.0 110.0 200.0 -76.9596
322 -45.0 120.0 200.0 -76.9223
323 -45.0 130.0 200.0 -76.2873
324 -45.0 140.0 200.0 -75.2087
325 -45.0 150.0 200.0 -73.7828
326 -45.0 160.0 200.0 -72.0851
327 -45.0 170.0 200.0 -70.205
328 -45.0 180.0 200.0 -68.252
329 -40.0 -180.0 200.0 -64.4116
330 -40.0 -170.0 200.0 -62.4373
331 -40.0 -160.0 200.0 -60.4606
332 -40.0 -150.0 200.0 -58.4799
333 -40.0 -140.0 200.0 -56.5111
334 -40.0 -130.0 200.0 -54.5338
335 -40.0 -120.0 200.0 -52.423
336 -40.0 -110.0 200.0 -49.971
337 -40.0 -100.0 200.0 -47.0782
338 -40.0 -90.0 200.0 -44.0659
339 -40.0 -80.0 200.0 -41.8488
340 -40.0 -70.0 200.0 -41.6034
341 -40.0 -60.0 200.0 -43.914
342 -40.0 -50.0 200.0 -48.1804
343 -40.0 -40.0 200.0 -53.1082
344 -40.0 -30.0 200.0 -57.6462
345 -40.0 -20.0 200.0 -61.2945
346 -40.0 -10.0 200.0 -63.7664
347 -40.0 0.0 200.0 -64.7458
348 -40.0 10.0 200.0 -64.1986
349 -40.0 20.0 200.0 -62.7623
350 -40.0 30.0 200.0 -61.576
351 -40.0 40.0 200.0 -61.5945
352 -40.0 50.0 200.0 -63.0368
353 -40.0 60.0 200.0 -65.448
354 -40.0 70.0 200.0 -68.1429
355 -40.0 80.0 200.0 -70.5741
356 -40.0 90.0 200.0 -72.3723
357 -40.0 100.0 200.0 -73.2931
358 -40.0 110.0 200.0 -73.3735
359 -40.0 120.0 200.0 -72.9217
360 -40.0 130.0 200.0 -72.1701
361 -40.0 140.0 200.0 -71.1485
362 -40.0 150.0 200.0 -69.8293
363 -40.0 160.0 200.0 -68.2145
364 -40.0 170.0 200.0 -66.3679
365 -40.0 180.0 200.0 -64.4116
366 -35.0 -180.0 200.0 -60.0429
367 -35.0 -170.0 200.0 -58.009
368 -35.0 -160.0 200.0 -55.951
369 -35.0 -150.0 200.0 -53.8545
370 -35.0 -140.0 200.0 -51.7551
371 -35.0 -130.0 200.0 -49.69
372 -35.0 -120.0 200.0 -47.5859
373 -35.0 -110.0 200.0 -45.2014
374 -35.0 -100.0 200.0 -42.3144
375 -35.0 -90.0 200.0 -39.1852
376 -35.0 -80.0 200.0 -36.8944
377 -35.0 -70.0 200.0 -36.9363
378 -35.0 -60.0 200.0 -40.0182
379 -35.0 -50.0 200.0 -45.2958
380 -35.0 -40.0 200.0 -51.1686
381 -35.0 -30.0 200.0 -56.5093
382 -35.0 -20.0 200.0 -60.9164
383 -35.0 -10.0 200.0 -64.1588
384 -35.0 0.0 200.0 -65.791
385 -35.0 10.0 200.0 -65.5443
386 -35.0 20.0 200.0 -63.8995
387 -35.0 30.0 200.0 -62.0615
388 -35.0 40.0 200.0 -61.2912
389 -35.0 50.0 200.0 -62.0872
390 -35.0 60.0 200.0 -64.0181
391 -35.0 70.0 200.0 -66.2667
392 -35.0 80.0 200.0 -68.1881
393 -35.0 90.0 200.0 -69.3868
394 -35.0 100.0 200.0 -69.6633
395 -35.0 110.0 200.0 -69.2093
396 -35.0 120.0 200.0 -68.4798
397 -35.0 130.0 200.0 -67.6895
398 -35.0 140.0 200.0 -66.7386
399 -35.0 150.0 200.0 -65.496
400 -35.0 160.0 200.0 -63.9149
401 -35.0 170.0 200.0 -62.0484
402 -35.0 180.0 200.0 -60.0429
403 -30.0 -180.0 200.0 -54.995
404 -30.0 -170.0 200.0 -52.8601
405 -30.0 -160.0 200.0 -50.6994
406 -30.0 -150.0 200.0 -48.4729
407 -30.0 -140.0 200.0 -46.2137
408 -30.0 -130.0 200.0 -44.0104
409 -30.0 -120.0 200.0 -41.8545
410 -30.0 -110.0 200.0 -39.4811
411 -30.0 -100.0 200.0 -36.545
412 -30.0 -90.0 200.0 -33.2551
413 -30.0 -80.0 200.0 -30.8914
414 -30.0 -70.0 200.0 -31.2878
415 -30.0 -60.0 200.0 -35.2358
416 -30.0 -50.0 200.0 -41.5905
417 -30.0 -40.0 200.0 -48.4317
418 -30.0 -30.0 200.0 -54.5449
419 -30.0 -20.0 200.0 -59.6112
420 -30.0 -10.0 200.0 -63.4856
421 -30.0 0.0 200.0 -65.6854
422 -30.0 10.0 200.0 -65.7873
423 -30.0 20.0 200.0 -64.093
424 -30.0 30.0 200.0 -61.7317
425 -30.0 40.0 200.0 -60.1663
426 -30.0 50.0 200.0 -60.2202
427 -30.0 60.0 200.0 -61.5689
428 -30.0 70.0 200.0 -63.3193
429 -30.0 80.0 200.0 -64.7649
430 -30.0 90.0 200.0 -65.4793
431 -30.0 100.0 200.0 -65.2601
432 -30.0 110.0 200.0 -64.4034
433 -30.0 120.0 200.0 -63.4936
434 -30.0 130.0 200.0 -62.7226
435 -30.0 140.0 200.0 -61.8522
